geometry,Name,Description
"{""type"":""Polygon"",""coordinates"":[[[43.293975214233036,35.44787405721993,0],[43.29450099388013,35.446119268932044,0],[43.293980299257285,35.44597358857428,0],[43.29345177566391,35.44774150609904,0],[43.293975214233036,35.44787405721993,0]]]}",FAT40-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.2935842599919,35.44917886604474,0],[43.293975214233036,35.44787405721993,0],[43.29345177566391,35.44774150609904,0],[43.29306612541245,35.449072980477865,0],[43.2935842599919,35.44917886604474,0]]]}",FAT39-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29510098650885,35.44883063827394,0],[43.29427912320497,35.44914937654848,0],[43.2942365267974,35.449170593459264,0],[43.2935842599919,35.44917886604474,0],[43.29306612541245,35.449072980477865,0],[43.293019154534875,35.4492400484566,0],[43.292823953741966,35.449934346787884,0],[43.292738525361855,35.450237705023085,0],[43.293772045964324,35.45015736709242,0],[43.294674264710544,35.45002558233175,0],[43.294717153242125,35.450016224833945,0],[43.29489766181783,35.449997981488124,0],[43.295349058154244,35.44995236050073,0],[43.29555440422656,35.449946984949115,0],[43.295469973404934,35.44956598204207,0],[43.29513058893974,35.448856382474375,0],[43.29510098650885,35.44883063827394,0]]]}",FAT38-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29555440422656,35.449946984949115,0],[43.29601394647893,35.449935126519705,0],[43.29629988893232,35.449911560970314,0],[43.297369224076974,35.44969806990876,0],[43.2973352901857,35.44955474664127,0],[43.29724367764815,35.449167811700086,0],[43.29726707139265,35.44911712525368,0],[43.297217944529194,35.449050842977584,0],[43.29714074517235,35.44902433006715,0],[43.297130754094525,35.44898797228719,0],[43.296903741526926,35.448425844229554,0],[43.29674831102031,35.448105923537916,0],[43.29608802666983,35.4484504035354,0],[43.29604318865955,35.44846521957359,0],[43.29510098650885,35.44883063827394,0],[43.29513058893974,35.448856382474375,0],[43.295469973404934,35.44956598204207,0],[43.29555440422656,35.449946984949115,0]]]}",FAT37-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.297130754094525,35.44898797228719,0],[43.297246796814065,35.44902199069269,0],[43.29729436409455,35.44908749317729,0],[43.297392617821444,35.449037586522344,0],[43.297447515142686,35.44901278915129,0],[43.297717014694044,35.449007443444906,0],[43.29773042065786,35.44864588502783,0],[43.29936120142172,35.44887875274257,0],[43.29969223469425,35.44917383616382,0],[43.30009856713644,35.449325895460746,0],[43.30016166753085,35.448172499113795,0],[43.29986557306761,35.44816548391451,0],[43.299338977363746,35.44817123818431,0],[43.29924579228149,35.44816149079077,0],[43.29920797238488,35.44808780049651,0],[43.29913139574605,35.4477989036932,0],[43.29910426012726,35.44772792672604,0],[43.299030569832084,35.44769634517096,0],[43.29802190954839,35.447822281495505,0],[43.29792755477892,35.4478885637716,0],[43.297765051872716,35.447945436040435,0],[43.29742341958495,35.44797083177309,0],[43.29737000386843,35.447949777403096,0],[43.2973288243854,35.447803055711034,0],[43.29674831102031,35.448105923537916,0],[43.296903741526926,35.448425844229554,0],[43.297130754094525,35.44898797228719,0]]]}",FAT36-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.299292969666325,35.44813692735909,0],[43.299459845043756,35.4481314688187,0],[43.29961970016538,35.44812923312402,0],[43.29989857250475,35.44812906050926,0],[43.30013046566351,35.448138487284005,0],[43.30035523045225,35.44814762385399,0],[43.30059132248607,35.44816577964396,0],[43.300631871643205,35.4481829350566,0],[43.30069893371077,35.448249997124165,0],[43.30201817374259,35.44829980255256,0],[43.30200878845554,35.44698912303055,0],[43.2971545251271,35.447182030865,0],[43.29737000386843,35.447949777403096,0],[43.29742380948078,35.44793184219898,0],[43.2977598996101,35.44791546657783,0],[43.297870630000716,35.4478788163781,0],[43.297961865604265,35.447821891599816,0],[43.29800943288475,35.44778836056604,0],[43.2987790870788,35.44767840996689,0],[43.299034078893854,35.447658135388316,0],[43.29910737929329,35.44767061205205,0],[43.2991533869908,35.447722078289964,0],[43.29926567696441,35.44812912944425,0],[43.299292969666325,35.44813692735909,0]]]}",FAT35-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.30180350834755,35.44699438662305,0],[43.30200878845554,35.44698912303055,0],[43.30201817374259,35.44829980255256,0],[43.30227255292414,35.44831082085985,0],[43.30231310208127,35.44828898669832,0],[43.302324019162036,35.44747800355566,0],[43.30242071330597,35.447094346145846,0],[43.30232323937055,35.44707017260987,0],[43.30223902189036,35.44700389033379,0],[43.302208610022504,35.44688848119425,0],[43.30217429919723,35.446366020900406,0],[43.30222771491384,35.446023692439226,0],[43.30222693512236,35.445991331092664,0],[43.30215393639663,35.44597260503263,0],[43.30193605607676,35.445952040405096,0],[43.30175207179396,35.445943644098804,0],[43.30180350834755,35.44699438662305,0]]]}",FAT34-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.298744301987696,35.44711786361387,0],[43.30180350834755,35.44699438662305,0],[43.30175207179396,35.445943644098804,0],[43.30154617715739,35.44593635579309,0],[43.30063614530697,35.44597721236621,0],[43.2999359077443,35.44601355514992,0],[43.299613920770426,35.44607009247724,0],[43.29931987877098,35.446095453662124,0],[43.29924189332413,35.44609855242161,0],[43.299158455635414,35.44613832178726,0],[43.29913545179604,35.446170683136344,0],[43.299112447937894,35.44620304448037,0],[43.298993139840945,35.4462435936375,0],[43.29869134364317,35.4462463500282,0],[43.298744301987696,35.44711786361387,0]]]}",FAT33-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29515563931005,35.447262710746195,0],[43.298744301987696,35.44711786361387,0],[43.29869134364317,35.4462463500282,0],[43.29799940899492,35.446253608421415,0],[43.29785085738618,35.446261360370784,0],[43.29736076265513,35.44629884155569,0],[43.29729033985341,35.44630422726291,0],[43.29695433232028,35.446310725982684,0],[43.29640267253331,35.446318453619895,0],[43.296305978389356,35.44629661945838,0],[43.29617672795161,35.44628511753199,0],[43.29587943244796,35.44632937070069,0],[43.29583654391638,35.44633872819847,0],[43.29569462186642,35.446358222985566,0],[43.295584671267264,35.446380836938594,0],[43.29540297985165,35.44635744319409,0],[43.295409218183515,35.4463192334114,0],[43.29515670139647,35.44628775340487,0],[43.29515563931005,35.447262710746195,0]]]}",FAT32-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.2987112096287,35.45249324347592,0],[43.29956240689141,35.452684523165914,0],[43.30162635075795,35.45307735290555,0],[43.30285043590462,35.45314011796693,0],[43.302901844651046,35.452963446745045,0],[43.3030305102458,35.452804369282454,0],[43.303214536056245,35.452676783875376,0],[43.29883577883283,35.452085793575954,0],[43.2987112096287,35.45249324347592,0]]]}",FAT31-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.30077720673913,35.451385591601046,0],[43.300857554126765,35.450885248860146,0],[43.30070517204248,35.45085333099113,0],[43.29920095427112,35.450588981678294,0],[43.29914714865877,35.450572606057136,0],[43.29893660495827,35.45097965721144,0],[43.29888981746927,35.45103112344933,0],[43.29866055877317,35.45149198021599,0],[43.29848349737026,35.45188294816909,0],[43.2982542646623,35.452378266737206,0],[43.2987112096287,35.45249324347592,0],[43.29883577883283,35.452085793575954,0],[43.29873614981087,35.452072437499545,0],[43.29917829158192,35.45114078162483,0],[43.30077720673913,35.451385591601046,0]]]}",FAT30-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29972655759774,35.44995062716338,0],[43.299707428839554,35.449969047449024,0],[43.299479339830675,35.450014665250805,0],[43.29937991641655,35.45007314961206,0],[43.299259438632376,35.45027082675308,0],[43.29915650615658,35.45053868512761,0],[43.30088590931521,35.450851250252896,0],[43.300857554126765,35.450885248860146,0],[43.30077720673913,35.451385591601046,0],[43.30137847325217,35.45147765154563,0],[43.30149501634584,35.45094610133792,0],[43.30159428054518,35.45049335974578,0],[43.30116266595915,35.45057757722597,0],[43.29978639399823,35.45042874043082,0],[43.29998625303258,35.450110433390485,0],[43.29972655759774,35.44995062716338,0]]]}",FAT29-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29978639399823,35.45042874043082,0],[43.30116266595915,35.45057757722597,0],[43.30159428054518,35.45049335974578,0],[43.30364674516205,35.45057400041307,0],[43.30365337565663,35.4499372497131,0],[43.303336968298744,35.44995968995125,0],[43.30161986745244,35.44989418746665,0],[43.300460707412455,35.44965908033443,0],[43.30041976835958,35.44965440158551,0],[43.300227719629774,35.44957521257264,0],[43.300095764998254,35.44952222692909,0],[43.300016226266955,35.449519887554644,0],[43.2999577419057,35.44959006878814,0],[43.29982966115533,35.44984396401953,0],[43.29972655759774,35.44995062716338,0],[43.29998625303258,35.450110433390485,0],[43.29978639399823,35.45042874043082,0]]]}",FAT28-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.30365337565663,35.4499372497131,0],[43.30364674516205,35.45057400041307,0],[43.30859035632712,35.45076823328799,0],[43.308682438917025,35.450319953616535,0],[43.30871986890822,35.45006730117594,0],[43.30877133514612,35.44982868498204,0],[43.30728848438162,35.44974329482808,0],[43.30726050444832,35.45019866002218,0],[43.30722887610019,35.45024025943448,0],[43.30670328742696,35.45018687928421,0],[43.30540497531255,35.45011876741386,0],[43.30487627668685,35.45004390743145,0],[43.304268039329855,35.44992225996005,0],[43.3039756175236,35.449901205589995,0],[43.30365337565663,35.4499372497131,0]]]}",FAT27-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.30446489917089,35.44993081360644,0],[43.30532777595571,35.45007197992482,0],[43.30554162705284,35.450080353643074,0],[43.30560382214081,35.45009069492044,0],[43.30628164455867,35.45012429005086,0],[43.306829434343896,35.45016231127353,0],[43.30726050444832,35.45019866002218,0],[43.30728848438162,35.44974329482808,0],[43.30449386778371,35.44958169730893,0],[43.30446489917089,35.44993081360644,0]]]}",FAT26-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.300731788509175,35.44967818459,0],[43.30157074058899,35.44984739997764,0],[43.303308420018425,35.44992952367107,0],[43.303353343919895,35.44992225996003,0],[43.30369739564881,35.44989820092841,0],[43.30398407672973,35.44987103857988,0],[43.3042001974708,35.44987547247106,0],[43.30446489917089,35.44993081360644,0],[43.30449386778371,35.44958169730893,0],[43.300882058274965,35.44937314576415,0],[43.300731788509175,35.44967818459,0]]]}",FAT25-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.300731788509175,35.44967818459,0],[43.300882058274965,35.44937314576415,0],[43.30087590194957,35.44854819816218,0],[43.301642033572506,35.44862979798002,0],[43.301634826698894,35.44831075222953,0],[43.300695814544675,35.44828703721947,0],[43.30063733018343,35.44831744908732,0],[43.300611597064474,35.44846716905214,0],[43.300524651271104,35.44937975334454,0],[43.30046889522303,35.449625159404896,0],[43.300731788509175,35.44967818459,0]]]}",FAT24-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.301642033572506,35.44862979798002,0],[43.3019163209401,35.44865901201916,0],[43.30250117185194,35.448542041836795,0],[43.30314142969227,35.447821751766426,0],[43.30313527336688,35.447409277965434,0],[43.302902479061764,35.447362760342735,0],[43.30291476898546,35.44713176437494,0],[43.30245736350553,35.44711033187112,0],[43.30236846727643,35.44746123803863,0],[43.30236144915309,35.44749632865538,0],[43.30236378852754,35.448071814770074,0],[43.302347412906386,35.44830341284063,0],[43.30233337665968,35.448319788461774,0],[43.30227957104733,35.448333824708484,0],[43.30191654014864,35.44831955577483,0],[43.301634826698894,35.44831075222953,0],[43.301642033572506,35.44862979798002,0]]]}",FAT23-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.30472277171503,35.44705583524219,0],[43.30450043852162,35.44720150198359,0],[43.30437097180564,35.447231979342526,0],[43.30340948890669,35.447161798109036,0],[43.30335613154017,35.44714686459579,0],[43.30314604693631,35.44713378240432,0],[43.30291476898546,35.44713176437494,0],[43.302902479061764,35.447362760342735,0],[43.30313527336688,35.447409277965434,0],[43.30432344416672,35.447384652663885,0],[43.304845612887135,35.44726802680336,0],[43.30472277171503,35.44705583524219,0]]]}",FAT22-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.304845612887135,35.44726802680336,0],[43.30495754568166,35.447243057179975,0],[43.30649047070322,35.44762474935403,0],[43.30647173006175,35.447360644937284,0],[43.30643430007055,35.44733257244388,0],[43.306378155067094,35.44730917871204,0],[43.3061933445022,35.44724133684033,0],[43.306016721710854,35.447179343437995,0],[43.305807347717945,35.44712202874338,0],[43.305695057744344,35.44707290187992,0],[43.30560607161416,35.447047601969594,0],[43.30545644155045,35.44700506002089,0],[43.30507746288954,35.44695125440854,0],[43.304958154792594,35.446946575659624,0],[43.304831341011216,35.44698141335098,0],[43.30472277171503,35.44705583524219,0],[43.304845612887135,35.44726802680336,0]]]}",FAT21-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.302224824225135,35.44647709281397,0],[43.302249744023165,35.44687580958256,0],[43.30227313776766,35.44698342080725,0],[43.30235735524787,35.447041905168504,0],[43.30240999117299,35.44705945047688,0],[43.30250824489989,35.447071147349135,0],[43.3026443990096,35.44707543566753,0],[43.30299201936802,35.44709301708215,0],[43.303249826600556,35.44710623796588,0],[43.30340890406316,35.44712495296149,0],[43.303565642151305,35.44714717701876,0],[43.30378350518823,35.44716201205045,0],[43.304352841653724,35.4472009826311,0],[43.30446396194011,35.447183437322735,0],[43.30480825479101,35.44695524896808,0],[43.304936515579,35.44691908800988,0],[43.30513068365835,35.44692493644602,0],[43.30529740317974,35.446949454022686,0],[43.30553656512543,35.446985760181704,0],[43.305648593206456,35.447024507628704,0],[43.30593223287603,35.44712456085732,0],[43.30647856905765,35.44730448370847,0],[43.307408650334885,35.44742103684014,0],[43.307352510552455,35.4466833260612,0],[43.30623799938699,35.446559179556,0],[43.304563540856854,35.44663050280389,0],[43.303586431255916,35.44660609212102,0],[43.30331035966597,35.44656201528537,0],[43.3028046534396,35.44651074552969,0],[43.302224824225135,35.44647709281397,0]]]}",FAT20-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.302224824225135,35.44647709281397,0],[43.3028046534396,35.44651074552969,0],[43.30331035966597,35.44656201528537,0],[43.30221182455873,35.44479437875699,0],[43.299556457863666,35.44506619726671,0],[43.29962145682859,35.44602661665721,0],[43.29995364800049,35.44597632010652,0],[43.300381753524846,35.445950586987564,0],[43.300458233749026,35.44594840118941,0],[43.30111995393456,35.44592437546638,0],[43.301630979481146,35.44590730856025,0],[43.30204839061459,35.44592866868996,0],[43.30218541122581,35.445935381053644,0],[43.302245065274285,35.445949417300355,0],[43.302257931833765,35.44596228385982,0],[43.30227664682936,35.44599152604045,0],[43.3022181624681,35.446370504701356,0],[43.302224824225135,35.44647709281397,0]]]}",FAT19-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29637813148818,35.44573431554013,0],[43.29638844133866,35.44582309108006,0],[43.296372779984665,35.44596770313446,0],[43.29633463572631,35.44621610598765,0],[43.29634984166024,35.44626406316387,0],[43.29638961102589,35.446280438785024,0],[43.29719201646224,35.44627342066167,0],[43.29792541035233,35.44622195442377,0],[43.299009710409905,35.4462044091154,0],[43.29907755226896,35.446178675996464,0],[43.299130188194084,35.44611083413741,0],[43.29917639084373,35.446086855552814,0],[43.29920504817649,35.44607457383342,0],[43.29932084721176,35.44605819821228,0],[43.29950682748054,35.44604884071446,0],[43.29962145682859,35.44602661665721,0],[43.299556457863666,35.44506619726671,0],[43.29741416170691,35.44528574971545,0],[43.29708150451521,35.44531623472707,0],[43.29709688008721,35.44578218040394,0],[43.29652105433329,35.44578470152602,0],[43.29651653481464,35.445736450903304,0],[43.29637813148818,35.44573431554013,0]]]}",FAT18-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29590594535833,35.44449900514135,0],[43.29634750228577,35.44462825557972,0],[43.29639195040032,35.444665100727306,0],[43.296397798836445,35.44469024900265,0],[43.296397798836445,35.44472943352467,0],[43.296364525723355,35.44481024885782,0],[43.296262115118346,35.44499963127366,0],[43.296248663715254,35.445094375938886,0],[43.296255096995,35.44516163295433,0],[43.296261530274734,35.44520081747636,0],[43.29637813148818,35.44573431554013,0],[43.29651653481464,35.445736450903304,0],[43.29652105433329,35.44578470152602,0],[43.29709688008721,35.44578218040394,0],[43.29708150451521,35.44531623472707,0],[43.29741416170691,35.44528574971545,0],[43.29739800135277,35.44502718404917,0],[43.29666755334549,35.444904365357665,0],[43.29665462506218,35.4445132847874,0],[43.2964089876792,35.444351681245976,0],[43.29639786495245,35.44420386047778,0],[43.29590594535833,35.44449900514135,0]]]}",FAT17-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.293980299257285,35.44597358857428,0],[43.29450099388013,35.446119268932044,0],[43.29414618133972,35.447303454918995,0],[43.29515563931005,35.447262710746195,0],[43.29515670139647,35.44628775340487,0],[43.29554880085903,35.44634028778146,0],[43.29611882843336,35.44625762988423,0],[43.29630441880639,35.44625451071829,0],[43.29629896026596,35.44620538385477,0],[43.296350426503864,35.44579365395156,0],[43.296238839024184,35.44530224712843,0],[43.296210064036856,35.44512459285886,0],[43.29621117268502,35.44506583450637,0],[43.296233457781355,35.44498423039185,0],[43.29628137164117,35.444894039596896,0],[43.29636134358462,35.44472378003642,0],[43.296351986086826,35.44467543296445,0],[43.29629740068299,35.444652039219946,0],[43.29589190911165,35.444533510914475,0],[43.29584044287375,35.444492961757355,0],[43.29541144190566,35.445998219906336,0],[43.29536710944341,35.44602603181367,0],[43.2940608153714,35.44570721680829,0],[43.293980299257285,35.44597358857428,0]]]}",FAT16-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29439166177231,35.44456761120335,0],[43.2940716238959,35.44567145892566,0],[43.2941949577528,35.44570335501114,0],[43.29541144190566,35.445998219906336,0],[43.29552209263537,35.44560997389994,0],[43.29575329364314,35.44479874682385,0],[43.29439166177231,35.44456761120335,0]]]}",FAT15-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29506144291789,35.442613985705435,0],[43.294960197159426,35.44258305430263,0],[43.29449515911736,35.44420633840489,0],[43.29561246215666,35.443728830182486,0],[43.29506144291789,35.442613985705435,0]]]}",FAT14-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29449515911736,35.44420633840489,0],[43.294488770742305,35.44422863797338,0],[43.29491716975749,35.44424498806566,0],[43.29530238675026,35.4442106772404,0],[43.295608065011734,35.44412490017723,0],[43.296100893229195,35.44388004565146,0],[43.29623971244325,35.44378342699513,0],[43.29652821896206,35.44353849698175,0],[43.29667637934389,35.44336694285542,0],[43.296862496858246,35.443194595666604,0],[43.29681145128667,35.443133542194744,0],[43.29506144291789,35.442613985705435,0],[43.29561246215666,35.443728830182486,0],[43.29449515911736,35.44420633840489,0]]]}",FAT13-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.297122379105396,35.443222884273226,0],[43.29690822597566,35.44324929035016,0],[43.29674461109865,35.4433556358789,0],[43.29655570661181,35.443570858328314,0],[43.296268548398075,35.44382058655085,0],[43.29588840004995,35.44403229993858,0],[43.29584668120562,35.44405315936075,0],[43.295670448330384,35.444145174755796,0],[43.295310184665084,35.44424810723159,0],[43.29489845476188,35.44428397763982,0],[43.29447856427204,35.44426426516817,0],[43.29439166177231,35.44456761120335,0],[43.29575329364314,35.44479874682385,0],[43.29584044287375,35.444492961757355,0],[43.29587026989796,35.44441946641004,0],[43.29587904255215,35.444470347804334,0],[43.29590594535833,35.44449900514135,0],[43.296496253591584,35.44414482871295,0],[43.29719838870497,35.444043548283304,0],[43.297122379105396,35.443222884273226,0]]]}",FAT12-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29894713214337,35.444505438421075,0],[43.29912726397602,35.44410774476457,0],[43.29919042708617,35.44407733289673,0],[43.29928400206417,35.44410306601567,0],[43.299426703905624,35.44416388975137,0],[43.29979632506872,35.44434636095847,0],[43.300072371253826,35.443871467945115,0],[43.30013553436398,35.44380596546052,0],[43.30024080621423,35.44380596546052,0],[43.30044667116583,35.443899540438515,0],[43.3005074949015,35.44337552056172,0],[43.300527577968595,35.442866010357946,0],[43.29991168360259,35.44292851285056,0],[43.29992753093979,35.442945615216814,0],[43.30001773628984,35.443636867675416,0],[43.29840640745131,35.4438701026925,0],[43.29894713214337,35.444505438421075,0]]]}",FAT10-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29856129581775,35.44516806774086,0],[43.30048070660674,35.444971585883515,0],[43.30052179780867,35.44400584966731,0],[43.30051199043212,35.44397634540108,0],[43.30021507309528,35.44384105607728,0],[43.30015658873403,35.443834037953934,0],[43.29993956707225,35.4441841679807,0],[43.29983141568549,35.44435571845628,0],[43.29977761007312,35.44438846969858,0],[43.299370558918824,35.44417558662362,0],[43.29920680270732,35.44411008413901,0],[43.29917639083947,35.44412178101126,0],[43.29899158025792,35.44451947466777,0],[43.29894713214337,35.444505438421075,0],[43.29856129581775,35.44516806774086,0]]]}",FAT9-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.30208625743793,35.444431190222126,0],[43.302019631775515,35.444238481812924,0],[43.30224454594332,35.44316392689619,0],[43.3023605341728,35.44261001625117,0],[43.30161432241446,35.442713329601844,0],[43.30157632522365,35.442718590329854,0],[43.300577344625815,35.442858624454075,0],[43.30055428239052,35.443366163063914,0],[43.300493458654834,35.44392059480856,0],[43.30052179780867,35.44400584966731,0],[43.30048070660674,35.444971585883515,0],[43.30221182455873,35.44479437875699,0],[43.30208625743793,35.444431190222126,0]]]}",FAT8-FTK0329,
